(Ian's, Ian Hainsworth)
(The Lies Ill-Concealed, Penny Scavo)
(The Lies Ill-Concealed, Renee)
(The Lies Ill-Concealed, Susan Delfino)
(The Lies Ill-Concealed, Everything's Different, Nothing's Changed)
(The Lies Ill-Concealed, Kathryn Joosten)
(The Lies Ill-Concealed, 4358 Wisteria Lane)
(The Lies Ill-Concealed, 4349)
(The Lies Ill-Concealed, Moments in the Woods)
(The Lies Ill-Concealed, Roy Bender)
(The Lies Ill-Concealed, Joshua Logan Moore)
(The Lies Ill-Concealed, James Denton)
(The Lies Ill-Concealed, 4358)
(The Lies Ill-Concealed, 4356 Wisteria Lane)
(The Lies Ill-Concealed, Gabrielle Solis)
(The Lies Ill-Concealed, No One is Alone)
(The Lies Ill-Concealed, Juanita Solis)
(The Lies Ill-Concealed, Carlos Solis)
(The Lies Ill-Concealed, Doug Savant)
(The Lies Ill-Concealed, Susan)
(The Lies Ill-Concealed, Karl Mayer)
(The Lies Ill-Concealed, Madison De La Garza)
(The Lies Ill-Concealed, Mike)
(The Lies Ill-Concealed, Paul Young)
(The Lies Ill-Concealed, Martha)
(The Lies Ill-Concealed, Gaby)
(The Lies Ill-Concealed, Orson Bean)
(The Lies Ill-Concealed, 4350 Wisteria Lane)
(The Lies Ill-Concealed, David Schladweiler)
(The Lies Ill-Concealed, Carlos)
(The Lies Ill-Concealed, Lynette Scavo)
(The Lies Ill-Concealed, 4355)
(The Lies Ill-Concealed, Mama)
(The Lies Ill-Concealed, Harriet Sansom Harris)
(The Lies Ill-Concealed, Tuc Watkins)
(The Lies Ill-Concealed, Mark Moses)
(The Lies Ill-Concealed, 4353 Wisteria Lane)
(The Lies Ill-Concealed, Kevin Rahm)
(Grace, Grace Sanchez)
(Sheryl Lee, Unaired Pilot)
(Sheryl Lee, Desperate Housewives)
(Sheryl Lee, Mary Alice Young)
(Albert Goldfine, That's Good, That's Bad)
(Albert Goldfine, George Williams)
(Albert Goldfine, Fairview)
(Albert Goldfine, Mary Alice Young)
(Albert Goldfine, Sam Lloyd)
(Albert Goldfine, S1)
(Albert Goldfine, Love is in the Air)
(Albert Goldfine, S2)
(Albert Goldfine, Pretty Little Picture)
(Albert Goldfine, Recurring character appearances)
(Albert Goldfine, Ah, But Underneath)
(Judge Conti, S8)
(Judge Conti, Give Me the Blame)
(Judge Conti, Lost My Power)
(Judge Conti, Bree Van de Kamp)
(Judge Conti, Season 8)
(Judge Conti, Alyson Reed)
(Sayeed Shahidi, Desperate Housewives)
(Sayeed Shahidi, Charlie)
(Lee Meriwether, ABC)
(Lee Meriwether, Desperate Housewives)
(Lee Meriwether, 8)
(Lee Meriwether, Doris)
(Janie Peterson, S1)
(Janie Peterson, Dan Peterson)
(Janie Peterson, Impossible)
(Janie Peterson, Anything You Can Do)
(Charles Mesure, Desperate Housewives)
(Charles Mesure, 8)
(Charles Mesure, Ben Faulkner)
(Come on Over for Dinner, Remember)
(Come on Over for Dinner, Lynette)
(Come on Over for Dinner, Parker Scavo)
(Come on Over for Dinner, Tom)
(Come on Over for Dinner, Vanessa Williams)
(Come on Over for Dinner, Bob)
(Come on Over for Dinner, Lucia Marquez)
(Come on Over for Dinner, Mason Vale Cotton)
(Come on Over for Dinner, Bob Hunter)
(Come on Over for Dinner, Alejandro)
(Come on Over for Dinner, Tom Scavo)
(Come on Over for Dinner, Renee Perry)
(Come on Over for Dinner, Chuck)
(Come on Over for Dinner, Paul)
(Come on Over for Dinner, Penny)
(Come on Over for Dinner, Susan Delfino)
(Come on Over for Dinner, Charlie Carver)
(Come on Over for Dinner, Joshua Logan Moore)
(Come on Over for Dinner, Gabrielle)
(Come on Over for Dinner, Brenda Strong)
(Come on Over for Dinner, Susan)
(Come on Over for Dinner, MJ)
(Come on Over for Dinner, Bob Daily)
(Come on Over for Dinner, Mike Delfino)
(Come on Over for Dinner, Kathryn Joosten)
(Come on Over for Dinner, Larry Shaw)
(Come on Over for Dinner, Mary Alice Young)
(Come on Over for Dinner, Tony Plana)
(Come on Over for Dinner, Roy Bender)
(Come on Over for Dinner, Jonathan Cake)
(Come on Over for Dinner, James Denton)
(Come on Over for Dinner, Roy)
(Come on Over for Dinner, Tuc Watkins)
(Come on Over for Dinner, Season 7)
(Come on Over for Dinner, Eva Longoria)
(Come on Over for Dinner, Gabrielle Solis)
(Come on Over for Dinner, Bree)
(Come on Over for Dinner, Marcia Cross)
(Come on Over for Dinner, Marc Cherry)
(Come on Over for Dinner, Bree Van de Kamp)
(Come on Over for Dinner, Juanita Solis)
(Come on Over for Dinner, Darcy Rose Byrnes)
(Come on Over for Dinner, Carlos Solis)
(Come on Over for Dinner, Felicity Huffman)
(Come on Over for Dinner, Doug Savant)
(Come on Over for Dinner, Renee)
(Come on Over for Dinner, Penny Scavo)
(Come on Over for Dinner, Porter Scavo)
(Come on Over for Dinner, Madison De La Garza)
(Come on Over for Dinner, Mike)
(Come on Over for Dinner, Paul Young)
(Come on Over for Dinner, 4353 Wisteria Lane)
(Come on Over for Dinner, Ricardo Antonio Chavira)
(Come on Over for Dinner, Orson Bean)
(Come on Over for Dinner, Chuck Vance)
(Come on Over for Dinner, Doreen Vance)
(Come on Over for Dinner, Felicia)
(Come on Over for Dinner, Doug Perry)
(Come on Over for Dinner, Lee McDermott)
(Come on Over for Dinner, Desperate Housewives)
(Come on Over for Dinner, Carlos)
(Come on Over for Dinner, Alejandro Perez)
(Come on Over for Dinner, Lynette Scavo)
(Come on Over for Dinner, Deirdre Taylor)
(Come on Over for Dinner, Lee)
(Come on Over for Dinner, Mary Alice)
(Come on Over for Dinner, Mark Moses)
(Come on Over for Dinner, Farewell Letter)
(Come on Over for Dinner, Teri Hatcher)
(Come on Over for Dinner, Kevin Rahm)
(Come on Over for Dinner, And Lots of Security...)
(Come on Over for Dinner, MJ Delfino)
(Come on Over for Dinner, Fairview)
(Come on Over for Dinner, Karen McCluskey)
(Desperate Housewives magazine covers, Desperate Housewives)
(Jenny Hunter-McDermott, Lynette)
(Jenny Hunter-McDermott, Isabella Acres)
(Jenny Hunter-McDermott, Renee)
(Jenny Hunter-McDermott, Where Do I Belong?)
(Jenny Hunter-McDermott, Gabrielle)
(Jenny Hunter-McDermott, Bob)
(Jenny Hunter-McDermott, Lee)
(Jenny Hunter-McDermott, Juanita)
(Jenny Hunter-McDermott, Bob Hunter)
(Jenny Hunter-McDermott, Searching)
